Id,neighbour
101,452
101,552
101,818
101,565
101,217
102,630
102,683
102,642
102,770
102,380
103,294
103,341
103,267
103,185
103,529
103,516
103,293
103,303
103,181
104,122
104,522
104,199
104,737
104,183
104,308
104,433
105,558
105,454
105,617
105,170
105,580
105,134
105,746
105,712
106,508
106,207
106,213
106,678
106,606
106,448
106,491
107,586
107,634
107,359
107,184
107,544
107,762
108,118
108,799
108,203
109,451
109,460
109,597
109,291
110,313
110,665
110,202
110,341
110,422
110,516
110,201
110,587
111,367
111,442
111,446
112,239
112,166
112,378
112,262
112,553
112,225
113,546
113,139
113,211
113,212
113,601
113,608
114,359
114,579
114,500
114,647
114,250
114,181
115,588
115,703
115,599
115,653
115,817
115,469
116,136
116,326
116,168
116,669
116,135
116,732
117,611
117,623
117,135
117,158
117,732
118,798
118,205
118,108
118,431
118,175
118,799
118,818
118,203
118,545
118,224
119,631
119,390
119,199
119,317
119,183
120,413
120,330
120,742
121,665
121,191
121,202
121,336
121,527
121,521
122,783
122,104
122,182
122,433
123,814
123,146
123,764
123,468
123,226
123,231
123,229
124,637
124,441
124,416
124,276
124,307
124,692
124,615
124,465
124,729
125,664
125,237
125,200
125,733
125,254
125,561
125,428
125,266
125,730
126,483
126,218
127,772
127,533
127,274
127,193
127,458
127,680
128,621
128,440
128,492
128,734
129,278
129,765
129,655
129,308
129,501
129,433
130,758
130,236
130,747
130,603
131,134
131,187
131,314
131,600
131,377
131,650
132,691
132,328
132,788
132,476
132,656
133,408
133,294
133,410
133,363
134,365
134,558
134,364
134,105
134,170
135,168
135,117
135,116
135,158
135,732
135,323
136,517
136,316
136,375
136,326
136,116
136,732
137,616
137,159
137,692
137,615
137,465
137,729
138,624
138,789
138,304
138,172
138,455
139,211
139,608
139,113
140,590
140,684
140,536
140,714
140,315
140,521
140,253
141,693
141,707
141,158
141,434
141,323
142,548
142,248
142,165
142,766
142,402
142,228
143,180
143,391
143,677
143,511
143,632
143,324
143,545
144,578
144,396
144,162
144,405
144,200
144,730
145,382
145,619
145,518
145,595
145,428
145,178
146,624
146,304
146,468
146,455
146,342
146,251
146,123
146,229
147,517
147,316
147,256
147,206
147,187
147,710
147,671
148,779
148,260
148,279
148,632
149,627
149,533
149,151
149,626
149,193
149,498
149,373
150,327
150,713
150,735
150,374
150,311
150,701
150,477
150,738
151,533
151,391
151,149
151,279
151,632
151,627
152,596
152,655
152,704
152,522
152,472
152,366
153,502
153,334
153,223
153,673
153,591
153,230
153,300
154,467
154,416
154,159
154,307
154,729
155,534
155,255
155,277
155,179
155,371
155,320
156,382
156,618
156,595
156,594
156,347
156,622
157,642
157,239
157,278
157,378
157,611
157,501
158,489
158,623
158,117
158,141
158,135
158,323
158,707
159,616
159,467
159,137
159,154
159,729
160,691
160,328
160,687
160,459
160,380
161,607
161,639
161,682
161,201
161,767
162,578
162,383
162,664
162,626
162,498
162,144
162,730
163,586
163,360
163,387
163,472
163,366
164,169
164,668
164,514
164,524
164,490
165,142
165,548
165,319
165,198
165,402
165,228
166,432
166,112
166,269
166,262
166,364
166,553
167,456
167,507
167,453
167,731
167,539
167,245
168,695
168,669
168,116
168,135
168,323
169,705
169,514
169,524
169,727
169,164
169,296
170,365
170,478
170,105
170,580
170,134
170,593
171,534
171,429
171,662
171,475
171,600
172,138
172,449
172,700
172,781
172,789
172,304
172,454
172,264
172,574
172,667
173,464
173,174
173,447
173,635
173,764
173,226
174,464
174,635
174,173
175,337
175,348
175,431
175,118
175,224
176,523
176,786
176,375
176,612
177,804
177,283
177,731
177,190
177,495
177,430
177,530
178,428
178,361
178,145
178,427
179,320
179,534
179,429
179,155
179,424
179,492
179,621
179,659
180,305
180,324
180,217
180,545
180,143
181,103
181,267
181,579
181,250
181,114
181,516
181,415
182,783
182,122
182,556
182,736
183,119
183,104
183,199
184,634
184,232
184,204
184,107
184,562
184,762
185,294
185,381
185,103
185,249
185,363
185,332
185,529
186,234
186,220
186,384
186,500
186,649
186,345
186,335
187,131
187,206
187,671
187,147
187,600
187,650
188,788
188,630
188,328
188,675
188,628
189,395
189,666
189,478
189,399
189,552
189,580
190,376
190,177
190,305
190,731
190,245
190,555
190,530
191,339
191,546
191,536
191,527
191,121
191,521
191,601
191,767
192,360
192,234
192,387
192,544
192,309
192,335
193,533
193,149
193,457
193,127
193,373
193,458
194,277
194,370
194,535
194,618
194,582
194,594
195,354
195,394
195,569
195,406
195,233
196,592
196,474
196,321
196,581
196,715
196,541
197,318
197,261
197,638
197,343
197,622
198,268
198,165
198,319
198,446
198,228
199,631
199,104
199,119
199,737
199,183
200,125
200,405
200,561
200,144
200,730
201,422
201,665
201,527
201,161
201,639
201,110
201,682
201,297
202,313
202,665
202,336
202,110
202,121
203,205
203,365
203,108
203,799
203,364
203,118
203,593
204,232
204,184
204,459
204,674
204,762
205,432
205,431
205,364
205,203
205,118
206,316
206,187
206,392
206,147
206,650
207,284
207,448
207,606
207,417
207,740
207,271
207,386
207,106
207,333
208,253
209,538
209,464
209,292
209,635
209,800
209,564
209,513
209,661
209,263
210,473
210,407
210,441
210,598
210,276
210,423
211,782
211,139
211,113
211,601
211,608
211,651
212,767
212,546
212,608
212,113
213,678
213,106
213,606
214,786
214,316
214,713
214,392
214,523
215,233
215,745
215,394
216,588
216,653
217,798
217,180
217,305
217,452
217,818
217,545
217,101
218,757
218,126
218,551
218,483
218,756
219,526
219,270
219,484
219,709
220,500
220,649
220,379
220,186
221,584
221,314
221,477
221,640
221,343
222,404
222,749
223,502
223,243
223,381
223,476
223,755
223,656
223,153
223,591
224,348
224,557
224,677
224,175
224,118
224,545
225,783
225,239
225,556
225,589
225,112
225,553
226,447
226,231
226,764
226,173
226,123
227,690
227,764
227,769
227,251
227,241
227,340
227,229
228,198
228,142
228,165
228,446
229,146
229,227
229,764
229,251
229,123
230,612
230,673
230,153
230,426
230,646
230,300
231,814
231,464
231,447
231,654
231,787
231,226
231,123
231,749
232,634
232,204
232,765
232,512
232,562
232,184
232,459
232,611
233,394
233,569
233,606
233,195
233,215
234,384
234,186
234,544
234,698
234,192
234,335
235,754
235,292
235,291
235,352
235,760
235,564
235,583
236,613
236,398
236,603
236,130
236,747
236,791
236,542
237,125
237,361
237,427
237,357
237,561
237,266
237,435
237,620
238,585
238,785
238,454
239,589
239,112
239,378
239,157
239,501
239,225
240,506
240,780
241,443
241,421
241,227
241,769
241,340
242,785
243,356
243,557
243,656
243,223
243,591
243,425
244,741
244,559
244,269
244,558
245,453
245,167
245,731
245,190
245,555
246,537
246,662
246,493
246,658
246,706
247,780
247,397
247,722
247,810
247,440
247,367
248,403
248,142
248,515
248,766
248,715
248,402
249,691
249,381
249,476
249,185
249,332
250,359
250,114
250,674
250,415
250,762
250,181
251,146
251,227
251,690
251,342
251,229
252,339
252,782
252,689
252,744
252,703
252,657
252,601
253,313
253,572
253,718
253,208
253,281
253,717
253,315
253,679
253,802
253,571
253,577
253,563
253,331
253,295
253,714
253,140
253,379
253,724
254,125
254,664
254,733
255,277
255,318
255,370
255,155
255,371
256,517
256,325
256,471
256,326
256,710
256,147
257,609
257,369
258,432
258,337
258,683
258,675
258,770
258,431
258,355
259,775
259,436
259,322
259,576
260,453
260,312
260,539
260,779
260,279
260,148
260,627
261,318
261,370
261,594
261,197
261,622
262,432
262,642
262,166
262,770
262,112
262,378
262,355
263,464
263,292
263,398
263,209
263,761
263,661
264,304
264,781
264,342
264,172
265,487
265,401
265,486
265,474
265,270
265,288
265,756
266,237
266,428
266,361
266,125
267,415
267,103
267,181
267,529
268,442
268,319
268,198
268,721
268,446
269,558
269,166
269,364
269,553
269,244
269,741
270,484
270,757
270,265
270,504
270,474
270,219
270,709
270,756
271,207
271,805
271,284
271,807
271,740
271,604
271,346
271,286
272,321
272,604
272,445
272,286
273,494
273,420
273,758
273,748
273,352
273,760
274,772
274,533
274,356
274,391
274,511
274,127
275,317
276,124
276,768
276,210
276,637
276,441
276,423
277,255
277,370
277,155
277,194
277,582
277,320
278,765
278,157
278,611
278,501
278,129
279,260
279,151
279,148
279,632
279,627
280,801
280,686
280,537
280,325
280,706
281,253
282,803
282,573
282,808
282,719
283,804
283,507
283,177
283,793
283,731
284,207
284,805
284,271
285,743
285,592
285,470
285,581
285,806
286,272
286,271
286,604
286,321
286,346
286,541
287,808
287,805
287,726
287,648
288,487
288,265
288,486
288,777
288,694
288,756
289,722
289,397
289,575
290,670
290,382
290,518
290,622
291,754
291,460
291,352
291,235
291,109
292,420
292,209
292,760
292,564
292,235
292,550
292,661
292,263
293,103
293,341
293,503
293,422
293,303
293,297
294,133
294,103
294,185
294,363
294,503
294,303
294,408
295,313
295,331
295,587
295,253
296,727
296,169
296,524
296,302
297,422
297,503
297,682
297,408
297,293
297,201
297,338
298,705
298,668
298,514
298,385
298,345
298,335
299,652
299,668
299,599
299,653
299,490
300,411
300,774
300,334
300,611
300,623
300,153
300,426
300,230
301,727
301,302
301,309
301,335
302,413
302,742
302,301
302,362
302,524
302,727
302,296
303,293
303,103
303,294
303,503
304,138
304,146
304,172
304,342
304,264
304,455
305,180
305,376
305,509
305,779
305,452
305,190
305,632
305,324
305,217
305,555
306,405
306,310
306,644
306,728
307,154
307,124
307,729
307,416
308,655
308,104
308,522
308,433
308,129
309,301
309,335
309,192
310,306
310,405
310,561
310,728
310,435
310,620
311,713
311,584
311,150
311,477
311,650
312,578
312,260
312,396
312,539
312,627
312,498
313,202
313,336
313,295
313,110
313,315
313,587
313,253
314,131
314,547
314,560
314,584
314,134
314,444
314,221
314,377
314,343
315,313
315,336
315,679
315,521
315,140
315,253
316,517
316,375
316,786
316,206
316,136
316,392
316,214
316,147
317,119
317,275
317,390
318,255
318,560
318,370
318,444
318,261
318,371
318,197
318,343
319,803
319,573
319,268
319,165
319,198
319,402
319,721
320,277
320,155
320,179
320,582
320,659
321,445
321,504
321,474
321,272
321,541
321,196
321,813
321,389
321,286
322,723
322,436
322,702
322,259
323,693
323,150
323,695
323,168
323,141
323,135
323,158
324,143
324,305
324,180
324,632
325,801
325,256
325,471
325,537
325,710
325,280
325,671
326,517
326,471
326,695
326,256
326,136
326,669
326,116
326,497
327,374
327,482
327,150
327,477
327,699
327,640
327,437
328,691
328,788
328,630
328,132
328,188
328,160
328,380
329,610
329,463
329,739
329,549
329,543
330,413
330,120
330,349
330,407
330,598
331,295
331,579
331,647
331,587
331,379
331,253
332,529
332,691
332,249
332,185
333,508
333,207
333,448
333,417
334,411
334,502
334,410
334,381
334,363
334,153
334,300
335,705
335,234
335,301
335,192
335,727
335,298
335,345
335,186
335,309
336,313
336,202
336,315
336,121
336,521
337,348
337,675
337,431
337,175
337,258
338,489
338,411
338,774
338,682
338,434
338,707
338,297
338,408
339,191
339,252
339,536
339,657
339,601
340,443
340,538
340,227
340,764
340,241
340,513
341,103
341,110
341,422
341,516
341,293
342,146
342,781
342,690
342,304
342,264
342,251
343,318
343,444
343,314
343,640
343,638
343,221
343,197
344,552
344,799
344,818
344,593
345,385
345,649
345,298
345,186
345,335
346,807
346,541
346,271
346,286
347,540
347,570
347,618
347,595
347,156
347,350
348,337
348,557
348,675
348,628
348,175
348,224
349,413
349,652
349,773
349,362
349,407
349,330
349,681
350,619
350,716
350,570
350,450
350,595
350,347
351,520
351,641
352,291
352,792
352,460
352,759
352,748
352,273
352,760
352,235
352,597
353,354
353,753
353,406
354,394
354,353
354,406
354,195
354,753
355,432
355,258
355,262
355,770
356,772
356,243
356,557
356,677
356,274
356,511
356,425
357,237
357,427
357,620
358,602
358,567
358,629
358,509
358,565
358,418
359,107
359,500
359,544
359,698
359,250
359,114
359,762
360,387
360,192
360,163
361,427
361,237
361,428
361,266
361,178
362,413
362,349
362,524
362,302
362,490
362,681
363,294
363,133
363,334
363,410
363,381
363,185
364,432
364,205
364,365
364,558
364,166
364,269
364,203
364,134
365,364
365,170
365,203
365,134
365,593
366,586
366,152
366,704
366,163
366,472
367,247
367,397
367,111
367,442
368,645
368,633
368,768
368,663
369,631
369,528
369,257
369,609
370,277
370,318
370,255
370,194
370,261
370,594
371,685
371,534
371,255
371,560
371,318
371,155
371,475
372,796
372,739
372,797
372,696
372,495
372,815
373,193
373,149
373,626
373,457
374,327
374,150
374,626
374,733
374,699
374,738
375,786
375,316
375,611
375,136
375,612
375,732
375,176
376,602
376,796
376,305
376,509
376,797
376,190
376,418
376,530
377,547
377,314
377,600
377,131
378,642
378,239
378,112
378,157
378,262
379,220
379,331
379,714
379,500
379,649
379,647
379,253
380,630
380,328
380,642
380,102
380,512
380,459
380,160
381,502
381,691
381,334
381,476
381,755
381,249
381,185
381,363
381,223
381,566
382,145
382,290
382,518
382,595
382,156
382,622
383,664
383,626
383,733
383,162
384,234
384,500
384,698
384,186
385,419
385,668
385,599
385,590
385,714
385,393
385,298
385,649
385,345
386,207
386,606
386,740
386,569
387,586
387,360
387,544
387,192
387,163
388,468
388,795
388,554
388,624
389,525
389,504
389,709
389,321
389,813
390,631
390,609
390,317
390,119
391,533
391,151
391,274
391,511
391,632
391,143
392,316
392,713
392,206
392,214
392,650
393,599
393,469
393,419
393,385
394,354
394,745
394,215
394,195
394,233
394,753
395,666
395,790
395,789
395,189
395,580
395,554
395,816
395,712
396,456
396,578
396,405
396,312
396,539
396,644
396,144
397,247
397,722
397,367
397,289
398,603
398,761
398,791
398,661
398,236
398,263
399,666
399,567
399,629
399,189
399,552
399,519
399,696
400,745
400,771
400,406
401,487
401,462
401,265
401,592
401,488
401,474
401,778
402,403
402,142
402,573
402,548
402,248
402,165
402,319
402,808
402,648
403,515
403,402
403,248
403,648
404,761
404,787
404,791
404,749
404,222
405,306
405,310
405,396
405,200
405,561
405,644
405,144
406,354
406,676
406,400
406,353
406,569
406,745
406,740
406,771
406,195
406,753
407,349
407,473
407,210
407,773
407,330
407,598
407,466
407,510
407,334
408,411
408,133
408,294
408,410
408,503
408,297
408,338
409,443
409,499
409,421
409,461
409,800
410,411
410,133
410,334
410,363
410,408
411,774
411,334
411,410
411,338
411,300
411,408
412,750
412,759
413,120
413,349
413,742
413,362
413,330
413,302
413,681
414,542
414,751
415,267
415,687
415,529
415,250
415,674
415,181
416,124
416,480
416,473
416,441
416,307
416,154
417,508
417,207
417,333
417,576
418,602
418,376
418,358
418,629
418,797
418,696
419,590
419,684
419,385
419,657
419,393
419,817
419,469
420,292
420,758
420,760
420,273
420,550
421,443
421,241
421,409
422,341
422,110
422,293
422,201
422,297
423,768
423,210
423,663
423,276
423,598
424,506
424,780
424,179
424,621
424,659
425,772
425,356
425,243
425,673
425,591
426,611
426,623
426,612
426,230
426,300
427,237
427,361
427,178
427,357
428,145
428,125
428,361
428,518
428,733
428,266
428,811
428,178
429,534
429,171
429,662
429,658
429,492
429,179
430,804
430,177
430,463
430,739
430,495
431,432
431,337
431,205
431,175
431,258
431,118
432,205
432,166
432,431
432,258
432,262
432,364
432,355
433,783
433,122
433,104
433,589
433,308
433,501
433,129
434,607
434,141
434,682
434,707
434,338
435,237
435,310
435,561
435,620
436,812
436,702
436,322
436,259
437,327
437,811
437,699
437,670
437,640
438,466
438,473
438,782
438,689
439,605
439,763
439,819
440,247
440,621
440,780
440,128
441,124
441,473
441,210
441,276
441,416
442,268
442,367
442,111
442,446
443,538
443,421
443,409
443,800
443,241
443,340
444,318
444,314
444,343
444,560
445,676
445,605
445,819
445,272
445,604
445,321
445,813
446,111
446,268
446,442
446,198
446,228
447,231
447,464
447,226
447,173
448,508
448,207
448,106
448,333
449,700
449,454
449,172
449,643
449,667
450,716
450,350
450,570
451,597
451,109
451,750
451,759
452,305
452,509
452,565
452,217
452,101
453,260
453,167
453,539
453,779
453,245
453,555
